code_commune,loyer_m2,nb_obs,type_pred,lat,lon,fiable,loyer_m2_final
50267,8.31767987459114,44,maille,49.22435865428062,-1.5325144255795096,True,8.31767987459114
50210,8.31767987459114,1,maille,49.263470210505325,-1.3923548677657855,False,8.5
50564,8.31767987459114,3,maille,49.25384522720515,-1.304850726911653,False,8.54
50036,8.31767987459114,1,maille,49.30838268769573,-1.3648279213859489,False,8.58
50166,8.31767987459114,1,maille,49.332749816340296,-1.5487072844756888,False,8.56
07093,8.63096091272531,6,maille,44.74128432846199,4.383568281843095,False,8.64
07001,8.63096091272531,4,maille,44.89348920264831,4.388537506771877,False,8.51
07048,8.63096091272531,14,maille,44.878248871635144,4.557919628082299,True,8.63096091272531
07339,8.63096091272531,39,maille,44.654376721961576,4.4431556960775485,True,8.63096091272531
07012,8.63096091272531,24,maille,44.89890845275125,4.318245295711109,True,8.63096091272531
07251,8.63096091272531,4,maille,44.74977491558483,4.409895616136314,False,8.63
07215,8.63096091272531,2,maille,44.88282190678384,4.482270636338658,False,8.5
07295,8.63096091272531,91,maille,44.820880240544035,4.577165588339191,True,8.63096091272531
07209,8.63096091272531,0,maille,44.845927472165734,4.29539604874311,False,8.53
07286,8.63096091272531,7,maille,44.81862413951732,4.479349461188662,False,8.58
07165,8.63096091272531,25,maille,44.93276730512992,4.470503103594987,True,8.63096091272531
07203,8.63096091272531,0,maille,44.802992222503754,4.212712417427794,False,8.59
07082,8.63096091272531,7,maille,44.852383775562885,4.359290608938363,False,8.53
07104,8.63096091272531,2,maille,44.79002587885849,4.455737977565078,False,8.6
07248,8.63096091272531,11,maille,44.955491970911716,4.419268772597249,True,8.63096091272531
07269,8.63096091272531,73,maille,44.932029522943985,4.368539395016852,True,8.63096091272531
07210,8.63096091272531,4,maille,44.69667297551093,4.40692507859157,False,8.72
07277,8.63096091272531,9,maille,44.693408811601785,4.437586889460117,False,8.72
07054,8.63096091272531,4,maille,44.93308585362127,4.308263619172078,False,8.58
07096,8.63096091272531,15,maille,44.84609483730851,4.518456457871407,True,8.63096091272531
07235,8.63096091272531,10,maille,44.82682236088556,4.190891409043444,True,8.63096091272531
07149,8.63096091272531,23,maille,44.80588979062605,4.388207861050285,True,8.63096091272531
07150,8.63096091272531,44,maille,44.88705798344411,4.353500199602742,True,8.63096091272531
07098,8.63096091272531,6,maille,44.73119235497564,4.460714409743289,False,8.67
07233,8.63096091272531,1,maille,44.80555163047022,4.523087067115606,False,8.62
07006,8.63096091272531,2,maille,44.81638265030511,4.422740359939394,False,8.55
07011,8.63096091272531,45,maille,44.743627376913835,4.35519009107028,True,8.63096091272531
07139,8.63096091272531,7,maille,44.75944623477334,4.325972355829321,False,8.58
49160,9.71490541583676,136,commune,47.411590242152606,-0.9307968691523716,True,9.71490541583676
44222,9.74764455655916,4,maille,47.440888249185974,-1.1473263022710123,False,9.81
44096,9.74764455655916,62,maille,47.43509143647956,-1.228209340922092,True,9.74764455655916
44213,9.51487621784791,180,commune,47.4418191598366,-1.0251279960702684,True,9.51487621784791
49183,9.21039179713306,118,commune,47.51081259455253,-0.9337622855030868,True,9.21039179713306
72314,8.08610966010442,0,maille,47.79742154881004,0.5081940234677117,False,8.22
72325,8.08610966010442,12,maille,47.816611976283255,0.482421593088693,True,8.08610966010442
72173,8.08610966010442,7,maille,47.72103999075153,0.3906979642424291,False,8.13
72071,9.17878014104962,725,commune,47.68742595312347,0.4204235717965191,True,9.17878014104962
